title,company,location,tags,date_posted,url
Senior Full-stack React Developer,Lemon.io,"Americas, Europe, Asia, Oceania",".Net, android, AWS, azure, backend",2026-05-15,https://remotive.com/remote-jobs/software-development/senior-full-stack-react-developer-2088711
"Marketing Manager, Content & AI Enablement",Expion Health,USA,"react, seo, video, AI/ML, product marketing",2026-05-15,https://remotive.com/remote-jobs/marketing/marketing-manager-content-ai-enablement-2090883
Tech Lead Full-Stack Rails Engineer,Mitre Media,"USA, Canada, USA timezones","api, CSS, docker, elasticsearch, fullstack",2026-05-14,https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746
Business Transformation Lead,Expion Health,USA,"api, AI/ML, automation, healthcare, spark",2026-05-13,https://remotive.com/remote-jobs/artificial-intelligence/business-transformation-lead-2090881
Office Assistant,Coalition Technologies ,Worldwide,"CSS, excel, frontend, git, html",2026-05-11,https://remotive.com/remote-jobs/marketing/office-assistant-1680495
Director of Revenue Systems and AI Automation (Offshore) ,Caul Group,LATAM,"api, AI/ML, automation, documentation, CRM",2026-05-11,https://remotive.com/remote-jobs/artificial-intelligence/director-of-revenue-systems-and-ai-automation-offshore-2090878
iOS Developer,nooro,USA,"api, backend, git, ios, security",2026-05-09,https://remotive.com/remote-jobs/software-development/ios-developer-1956455
Inside Sales Contractor,"Credit Wellness, LLC",Worldwide,"CRM, google sheets, financial services, Inside Sales",2026-05-08,https://remotive.com/remote-jobs/sales/inside-sales-contractor-2086540
Freelance Writer,IAPWE,Worldwide,REST,2026-05-04,https://remotive.com/remote-jobs/writing/freelance-writer-1185979
🇩🇪Customer Support Manager,Parkosecure GmbH,Switzerland,MS Office,2026-05-04,https://remotive.com/remote-jobs/customer-service/customer-support-manager-2090874
Copywriter,Coalition Technologies ,Worldwide,"accounting, excel, research, data analysis, bookkeeping",2026-05-02,https://remotive.com/remote-jobs/writing/copywriter-1749306
Senior DevOps Engineer,Lemon.io,"Americas, Europe, Asia, Oceania",".Net, android, AWS, azure, C",2026-04-30,https://remotive.com/remote-jobs/devops/senior-devops-engineer-2090002
Head of Engineering,Lemon.io,"USA timezones, European timezones","AI/ML, startup, marketplace, fundraising",2026-04-24,https://remotive.com/remote-jobs/software-development/head-of-engineering-2089995
Mid/Senior AI Video Artist,EverAI,Worldwide,"excel, video, AI/ML, customer acquisition, advertising",2026-04-24,https://remotive.com/remote-jobs/marketing/mid-senior-ai-video-artist-2089994
Content Reviewer - US,TELUS Digital,USA,"android, go, ios, social media, AI/ML",2026-04-21,https://remotive.com/remote-jobs/all-others/content-reviewer-us-2089990
AI Engineer,Dry Ground AI,"Brazil, Colombia, Philippines","api, cloud, fullstack, python, AI/ML",2026-04-21,https://remotive.com/remote-jobs/artificial-intelligence/ai-engineer-2089958
Customer Retention Manager,AutoHDR,USA,"AI/ML, editing, startup",2026-04-16,https://remotive.com/remote-jobs/customer-service/customer-retention-manager-2088656
Customer Support Representative,AutoHDR,USA,"saas, AI/ML, editing, technical support, onboarding",2026-04-16,https://remotive.com/remote-jobs/customer-service/customer-support-representative-2088655
